No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,contactBinary,detachedBinary,dsct,t2Cep,All
3100 < 3200,RRab,0,0,4,0,0,0,0,0,0,0,4
3100 < 3200,contactBinary,0,0,0,0,0,0,1,0,0,0,1
3200 < 3300,RRab,0,0,4,0,0,0,0,0,0,0,4
3200 < 3300,RRc,0,0,0,1,0,0,0,0,0,0,1
3200 < 3300,contactBinary,0,0,0,0,0,0,1,0,0,0,1
3200 < 3300,detachedBinary,0,0,0,0,0,0,1,0,0,0,1
3300 < 3400,RRab,0,0,3,0,0,0,1,0,0,0,4
3300 < 3400,contactBinary,0,0,0,0,0,0,2,0,0,0,2
3300 < 3400,t2Cep,0,0,0,0,0,0,0,0,0,1,1
3400 < 3500,RRab,0,0,4,1,0,0,0,0,0,0,5
3400 < 3500,contactBinary,0,0,0,0,0,0,1,0,0,0,1
3500 < 3600,RRab,0,0,4,0,0,0,0,0,0,0,4
3500 < 3600,RRc,0,0,0,2,0,0,0,0,0,0,2
3500 < 3600,contactBinary,0,0,0,0,0,0,2,0,0,0,2
3500 < 3600,t2Cep,0,0,0,0,0,0,0,0,0,1,1
3600 < 3700,RRab,0,0,3,0,0,0,0,0,0,0,3
3600 < 3700,contactBinary,0,0,0,0,0,0,3,0,0,0,3
3600 < 3700,t2Cep,0,0,0,0,0,0,0,0,0,2,2
3700 < 3800,RRab,0,0,5,0,0,0,0,0,0,0,5
3700 < 3800,RRc,0,0,0,6,0,0,0,0,0,0,6
3700 < 3800,contactBinary,0,0,0,0,0,0,5,0,0,1,6
3800 < 3900,RRab,0,0,1,0,0,0,0,0,0,0,1
3800 < 3900,RRc,0,0,0,4,0,0,0,0,0,0,4
3800 < 3900,contactBinary,0,0,0,0,0,0,9,0,0,0,9
3900 < 4000,RRab,0,0,3,0,0,0,0,0,0,0,3
3900 < 4000,RRc,0,0,0,2,0,0,0,0,0,0,2
3900 < 4000,contactBinary,0,0,1,0,0,0,8,0,0,0,9
400 < 500,Mira,193,0,0,0,0,0,0,0,0,0,193
400 < 500,OSARG,0,1,0,0,0,0,0,0,0,0,1
400 < 500,RRab,0,0,329,9,0,1,1,0,1,1,342
400 < 500,RRc,0,0,4,135,0,0,0,0,0,0,139
400 < 500,SRV,0,0,0,0,198,0,0,0,0,1,199
400 < 500,clasCep,0,0,3,0,0,1308,0,0,2,0,1313
400 < 500,contactBinary,0,0,3,1,0,0,1047,90,0,1,1142
400 < 500,detachedBinary,0,0,1,1,1,0,17,1178,0,0,1198
400 < 500,dsct,0,0,0,0,0,0,0,0,1357,0,1357
400 < 500,t2Cep,0,0,9,2,0,0,3,0,1,41,56
4000 < 4100,RRab,0,0,7,0,0,0,0,0,0,0,7
4000 < 4100,RRc,0,0,0,1,0,0,0,0,0,0,1
4000 < 4100,contactBinary,0,0,1,0,0,0,6,0,0,0,7
4100 < 4200,RRab,0,0,3,1,0,0,0,0,0,0,4
4100 < 4200,RRc,0,0,0,3,0,0,0,0,0,0,3
4100 < 4200,contactBinary,0,0,0,1,0,0,4,2,0,0,7
4100 < 4200,t2Cep,0,0,0,0,0,0,0,0,0,1,1
4200 < 4300,RRc,0,0,0,3,0,0,0,0,0,0,3
4200 < 4300,contactBinary,0,0,0,0,0,0,14,0,0,0,14
4300 < 4400,RRab,0,0,4,0,0,0,0,0,0,0,4
4300 < 4400,RRc,0,0,0,1,0,0,0,0,0,0,1
4300 < 4400,contactBinary,0,0,2,0,0,0,12,0,0,0,14
4300 < 4400,t2Cep,0,0,0,0,0,0,0,0,0,1,1
4400 < 4500,RRab,0,0,6,0,0,0,0,0,0,0,6
4400 < 4500,RRc,0,0,0,5,0,0,0,0,0,0,5
4400 < 4500,contactBinary,0,0,0,0,0,0,31,0,0,0,31
4500 < 4600,RRab,0,0,6,0,0,0,0,0,0,0,6
4500 < 4600,RRc,0,0,0,2,0,0,0,0,0,0,2
4500 < 4600,contactBinary,0,0,0,2,0,0,39,0,0,0,41
4500 < 4600,t2Cep,0,0,0,0,0,0,0,0,0,1,1
4600 < 4700,RRab,0,0,8,0,0,0,0,0,0,0,8
4600 < 4700,RRc,0,0,0,1,0,0,0,0,0,0,1
4600 < 4700,contactBinary,0,0,0,0,0,0,39,0,0,0,39
4700 < 4800,RRab,0,0,5,0,0,0,0,0,0,0,5
4700 < 4800,RRc,0,0,0,2,0,0,0,0,0,0,2
4700 < 4800,contactBinary,0,0,0,0,0,0,233,0,0,0,233
4800 < 4900,RRab,0,0,7,0,0,0,1,0,0,0,8
4800 < 4900,RRc,0,0,0,3,0,0,0,0,0,0,3
4800 < 4900,contactBinary,0,0,0,0,0,0,388,0,0,0,388
4800 < 4900,detachedBinary,0,0,0,0,0,0,1,4,0,0,5
4800 < 4900,t2Cep,0,0,0,0,0,0,0,0,0,1,1
4900 < 5000,RRab,0,0,9,0,0,0,0,0,0,0,9
4900 < 5000,RRc,0,0,0,1,0,0,0,0,0,0,1
4900 < 5000,contactBinary,0,0,0,1,0,0,1,1,0,0,3
4900 < 5000,detachedBinary,0,0,1,0,0,0,1,3,0,0,5
4900 < 5000,t2Cep,0,0,0,0,0,0,0,0,0,2,2
500 < 600,Mira,325,0,0,0,1,0,0,0,0,0,326
500 < 600,OSARG,0,17,0,0,0,0,0,0,0,0,17
500 < 600,RRab,0,0,194,6,0,1,3,1,2,0,207
500 < 600,RRc,0,0,5,82,0,0,1,0,0,0,88
500 < 600,SRV,0,0,0,0,191,0,0,0,0,0,191
500 < 600,clasCep,0,0,0,2,0,134,1,0,0,1,138
500 < 600,contactBinary,0,0,1,0,0,0,1833,252,0,0,2086
500 < 600,detachedBinary,0,0,2,0,0,0,60,4301,0,0,4363
500 < 600,dsct,0,0,0,0,0,0,0,0,167,0,167
500 < 600,t2Cep,0,0,6,0,0,0,3,0,0,55,64
5000 < 5100,RRab,0,0,3,0,0,0,1,0,0,0,4
5000 < 5100,RRc,0,0,0,2,0,0,0,0,0,0,2
